date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:19	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1618834115-ssl-df	https://crestcollege.netlify.app/robots.txt		(from )
14:36:19	20817/20817	---MCZ	200	added ('OK')	text/html	etag:%2289f02868129260ea249899f3d29e3798-ssl-df%22	https://crestcollege.netlify.app/	C:/Users/user/Desktop/crest/crestcollege.netlify.app/index.html	(from )
14:36:20	79820/79820	---MCZ	200	added ('OK')	text/css	etag:%223078c7a74df13c99a2186a2b836135b9-ssl-df%22	https://crestcollege.netlify.app/fonts/icomoon/style.css	C:/Users/user/Desktop/crest/crestcollege.netlify.app/fonts/icomoon/style.css	(from https://crestcollege.netlify.app/)
14:36:21	196370/196370	---MCZ	200	added ('OK')	text/css	etag:%22490d429dbff7d7f84641029739831117-ssl-df%22	https://crestcollege.netlify.app/css/bootstrap.min.css	C:/Users/user/Desktop/crest/crestcollege.netlify.app/css/bootstrap.min.css	(from https://crestcollege.netlify.app/)
14:36:22	21738/21738	---MCZ	200	added ('OK')	text/css	etag:%22c89a6241ab7c53c268e48310c8e0c113-ssl-df%22	https://crestcollege.netlify.app/css/jquery-ui.css	C:/Users/user/Desktop/crest/crestcollege.netlify.app/css/jquery-ui.css	(from https://crestcollege.netlify.app/)
14:36:23	1330/1330	---M-Z	200	added ('OK')	text/css	etag:%22480d705ea26ed6be654dddbc599b43e9-ssl-df%22	https://crestcollege.netlify.app/fonts/flaticon/font/flaticon.css	C:/Users/user/Desktop/crest/crestcollege.netlify.app/fonts/flaticon/font/flaticon.css	(from https://crestcollege.netlify.app/)
14:36:24	25983/25983	---MCZ	200	added ('OK')	text/css	etag:%22b281fea4b8c12d2b170222cd85f4f5d6-ssl-df%22	https://crestcollege.netlify.app/css/aos.css	C:/Users/user/Desktop/crest/crestcollege.netlify.app/css/aos.css	(from https://crestcollege.netlify.app/)
14:36:25	31716/31716	---MCZ	200	added ('OK')	text/css	etag:%223684ddca8f1c241ad79ff182f1a4916a-ssl-df%22	https://crestcollege.netlify.app/css/style.css	C:/Users/user/Desktop/crest/crestcollege.netlify.app/css/style.css	(from https://crestcollege.netlify.app/)
14:36:25	20817/20817	---MCZ	200	added ('OK')	text/html	etag:%2289f02868129260ea249899f3d29e3798-ssl-df%22	https://crestcollege.netlify.app/index.html	C:/Users/user/Desktop/crest/crestcollege.netlify.app/index-2.html	(from https://crestcollege.netlify.app/)
14:36:27	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1618834115-ssl-df	https://crestcollege.netlify.app/course-single.html	C:/Users/user/Desktop/crest/crestcollege.netlify.app/course-single.8.delayed	(from https://crestcollege.netlify.app/)
14:36:29	29477/29477	---M--	200	added ('OK')	image/jpeg	etag:%22efc2f92dd504abcbf7474e7b12a6ffe1-ssl%22	https://crestcollege.netlify.app/images/img_1.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/img_1.jpg	(from https://crestcollege.netlify.app/)
14:36:29	3580634/3580634	---M--	200	added ('OK')	image/jpeg	etag:%22734435f7ddd630c23dd641a5b19ce691-ssl%22	https://crestcollege.netlify.app/images/hero_1.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/hero_1.jpg	(from https://crestcollege.netlify.app/)
14:36:30	43134/43134	---M--	200	added ('OK')	image/jpeg	etag:%221be5ae2bbb6c452de86f949658b056e7-ssl%22	https://crestcollege.netlify.app/images/img_2.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/img_2.jpg	(from https://crestcollege.netlify.app/)
14:36:31	41640/41640	---M--	200	added ('OK')	image/jpeg	etag:%222fbd902df69471a4e5f01358f82e5ceb-ssl%22	https://crestcollege.netlify.app/images/img_3.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/img_3.jpg	(from https://crestcollege.netlify.app/)
14:36:31	35900/35900	---M--	200	added ('OK')	image/jpeg	etag:%22200d62eca15096ac05b92099af441744-ssl%22	https://crestcollege.netlify.app/images/img_4.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/img_4.jpg	(from https://crestcollege.netlify.app/)
14:36:32	36050/36050	---M--	200	added ('OK')	image/jpeg	etag:%22a6ee70627e493212c45439b35de52d62-ssl%22	https://crestcollege.netlify.app/images/img_5.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/img_5.jpg	(from https://crestcollege.netlify.app/)
14:36:33	49519/49519	---M--	200	added ('OK')	image/jpeg	etag:%22de5fce4d9f1adc117b9ba9ba00482d7c-ssl%22	https://crestcollege.netlify.app/images/img_6.jpg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/img_6.jpg	(from https://crestcollege.netlify.app/)
14:36:34	29039/29039	---MCZ	200	added ('OK')	image/svg+xml	etag:%221b552e39b01f4b29d7ddce658ed98526-ssl-df%22	https://crestcollege.netlify.app/images/undraw_youtube_tutorial.svg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/undraw_youtube_tutorial.svg	(from https://crestcollege.netlify.app/)
14:36:35	27415/27415	---MCZ	200	added ('OK')	image/svg+xml	etag:%22bdf734e55506a8ebb9e682a1a92b544b-ssl-df%22	https://crestcollege.netlify.app/images/undraw_teaching.svg	C:/Users/user/Desktop/crest/crestcollege.netlify.app/images/undraw_teaching.svg	(from https://crestcollege.netlify.app/)
